trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.97}",30,0,-82.5907586651484,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9409}",30,0,-198.01025337684945,"{0: 13, 1: 4, 2: 11, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.912673}",20,0,-167.26149970488618,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.8852928099999999}",20,9,-3.3031226808561662,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.8587340256999999}",20,0,-127.34603741692945,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.8329720049289998}",20,0,-146.2972822384924,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.8079828447811298}",25,0,-94.53366995046476,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.7837433594376959}",20,0,-55.95276263957911,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.7602310586545651}",30,3,-56.619284440948334,"{0: 20, 1: 3, 2: 3, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.7374241268949281}",35,0,-77.51379709236018,"{0: 27, 1: 1, 2: 6, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.7153014030880802}",20,0,-116.61481217759226,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.6938423609954377}",20,0,-38.41328029630178,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.6730270901655746}",30,0,-132.1485504413286,"{0: 23, 1: 2, 2: 1, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.6528362774606074}",20,5,-57.925952952006355,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.6332511891367891}",25,0,-59.64728998629968,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.6142536534626855}",20,0,-65.47035762828845,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.5958260438588049}",20,0,-97.59802039952064,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.5779512625430407}",25,7,-6.22370913594277,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.5606127246667495}",25,0,-131.28742303130537,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.543794342926747}",20,7,10.377598437173205,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.5274805126389446}",30,10,-53.26628440275777,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",1
22,False,"{'a': 0.5, 'e': 0.5116560972597762}",20,15,1.3809209678424665,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.49630641434198286}",25,0,-164.19343396836052,"{0: 15, 1: 0, 2: 6, 3: 2, 4: 2}",0
